N,P,K,Temperature,Humidity,Ph,Rain,Crop
2.38,22.38,31.26,19.83,89.31,6.39,113.41,Pomegranate
74.9,43.14,42.47,20.84,87.34,7.45,223.77,Rice
68.77,40.58,42.04,22.65,81.29,6.58,297.64,Rice
92.8,46.42,54.51,22.56,76.57,6.29,86.88,Bhindi(Ladies Finger)
95.43,58.64,25.56,23.53,54.88,5.51,71.34,Apple
9.88,21.75,37.04,17.23,89.39,6.22,112.76,Pomegranate
20.86,53.37,22.95,26.78,75.98,6.91,45.6,Green Gram (Moong)(Whole)
101.84,59.76,42.3,20.9,81.48,7.17,129.71,Banana
78.42,63.02,41.66,23.64,66.95,6.1,103.35,Bhindi(Ladies Finger)
76.09,58.91,53.87,28.18,69.56,7.14,107.76,Bhindi(Ladies Finger)
78.94,41.29,25.9,20.61,58.07,5.65,93.67,Apple
27.66,59.7,17.83,33.9,63.76,7.03,57.38,Green Gram (Moong)(Whole)
37.19,58.84,21.79,31.69,82.35,7.09,46.66,Green Gram (Moong)(Whole)
32.57,69.53,38.01,16.31,36.3,5.66,138.17,Arhar (Tur/Red Gram)(Whole)
90.28,70.14,45.58,26.76,79.53,6.31,114.32,Banana
84.58,61.5,42.08,22.97,68.68,6.29,93.08,Bhindi(Ladies Finger)
14.87,37.85,29.52,33.68,51.16,5.78,87.68,Mango
41.51,60.58,18.13,18.94,40.6,6.43,91.62,Arhar (Tur/Red Gram)(Whole)
4.95,48.16,25.83,30.2,51.04,6.1,91.88,Mango
28.22,64.66,39.98,15.84,27.23,5.95,125.52,Arhar (Tur/Red Gram)(Whole)
22.11,72.48,24.37,28.69,23.03,6.47,106.06,Arhar (Tur/Red Gram)(Whole)
75.58,52.06,37.82,28.26,76.6,6.24,86.33,Bhindi(Ladies Finger)
29.62,52.83,22.98,28.82,74.68,7.21,46.22,Green Gram (Moong)(Whole)
91.53,64.96,51.31,25.9,70.93,7.19,107.93,Bhindi(Ladies Finger)
97.48,71.82,41.61,24.26,84.47,7.42,195.69,Banana
74.97,64.13,54.09,22.26,77.05,6.94,96.98,Bhindi(Ladies Finger)
85.01,51.25,33.65,23.16,58.07,6.48,88.32,Apple
73.2,53.95,31.74,24.75,64.46,6.62,90.97,Apple
87.38,50.87,48.39,26.71,72.81,7.3,107.37,Bhindi(Ladies Finger)
35.77,51.83,24.16,34.85,58.02,4.58,97.7,Mango
14.78,65.28,15.33,27.75,62.64,5.52,108.6,Arhar (Tur/Red Gram)(Whole)
5.63,25.48,38.85,22.65,85.09,6.4,103.21,Pomegranate
85.47,70.53,48.97,27.41,83.55,6.76,168.0,Banana
61.57,47.37,42.82,23.69,86.4,6.78,217.2,Rice
6.6,49.3,33.66,32.79,53.22,5.5,86.54,Mango
88.61,41.21,37.34,21.44,55.51,6.39,91.23,Apple
30.13,75.73,52.28,16.91,30.96,7.03,99.52,Black Gram (Urd Beans)(Whole)
37.77,61.22,32.19,21.34,60.36,5.8,97.31,Arhar (Tur/Red Gram)(Whole)
9.09,29.76,31.77,15.92,86.46,5.57,105.11,Pomegranate
12.02,15.64,33.78,21.82,90.43,5.72,115.43,Pomegranate
2.29,36.49,23.37,32.58,53.66,5.56,90.36,Mango
22.33,71.4,53.13,22.62,49.8,6.51,82.72,Black Gram (Urd Beans)(Whole)
74.8,33.41,23.3,24.31,61.2,6.01,73.31,Apple
75.4,38.79,40.95,25.77,89.0,7.0,245.37,Rice
29.86,135.44,185.59,30.95,78.47,6.01,64.72,Grapes
103.15,85.7,42.46,22.24,82.04,5.84,150.52,Banana
81.52,56.56,43.43,29.72,67.11,7.11,108.49,Bhindi(Ladies Finger)
10.68,51.99,17.4,34.84,74.15,6.95,74.6,Green Gram (Moong)(Whole)
79.26,63.0,54.67,28.01,73.47,7.09,108.63,Bhindi(Ladies Finger)
40.84,73.0,16.75,21.61,55.49,5.67,114.66,Arhar (Tur/Red Gram)(Whole)
99.09,58.04,44.66,23.13,79.25,5.94,161.07,Banana
8.21,42.85,26.93,28.57,48.66,6.01,91.91,Mango
36.06,28.93,27.18,27.85,47.27,4.82,93.92,Mango
13.23,17.59,37.02,17.43,93.53,6.14,111.11,Pomegranate
4.09,59.1,31.71,30.75,58.16,6.08,86.9,Mango
86.61,37.88,37.1,21.39,63.33,6.75,74.21,Apple
87.9,63.33,47.53,27.29,69.05,6.9,88.35,Bhindi(Ladies Finger)
3.6,15.85,35.16,15.69,94.66,5.91,112.82,Pomegranate
17.45,58.79,21.16,28.45,69.39,7.31,49.32,Green Gram (Moong)(Whole)
28.61,141.2,209.52,29.82,81.19,6.47,64.98,Grapes
76.62,51.96,40.49,20.7,82.88,6.73,297.64,Rice
75.67,46.52,41.69,22.03,85.8,6.89,213.13,Rice
69.43,49.48,41.05,22.95,85.33,6.07,227.38,Rice
88.28,57.63,45.38,26.59,75.53,7.11,97.12,Bhindi(Ladies Finger)
90.86,48.7,24.57,23.97,67.1,5.84,95.23,Apple
12.95,124.64,202.65,30.77,77.12,6.37,63.53,Grapes
2.36,25.22,32.39,26.51,52.19,4.6,86.78,Mango
24.81,64.45,39.75,22.92,60.49,5.74,88.67,Arhar (Tur/Red Gram)(Whole)
74.73,49.14,40.11,21.59,80.43,6.79,268.5,Rice
62.1,53.18,44.97,24.35,83.48,6.17,277.58,Rice
98.41,36.2,25.63,22.89,63.47,5.57,63.05,Apple
39.05,64.09,38.07,18.24,21.12,5.8,101.77,Arhar (Tur/Red Gram)(Whole)
76.38,51.59,22.48,24.02,50.85,6.62,92.63,Apple
68.71,40.08,43.21,25.42,87.93,7.4,217.05,Rice
15.5,47.71,29.67,25.48,57.65,4.93,93.97,Mango
41.25,63.23,24.85,28.3,48.15,6.07,122.31,Arhar (Tur/Red Gram)(Whole)
26.89,123.28,187.53,29.19,77.12,6.17,73.21,Grapes
86.4,62.98,44.53,22.67,76.18,5.69,100.24,Banana
75.61,39.28,41.26,24.14,84.31,6.49,294.78,Rice
9.4,45.98,33.63,31.05,49.11,5.0,92.74,Mango
87.41,89.19,49.31,26.2,84.28,6.58,138.96,Banana
88.37,42.68,26.94,21.75,55.85,6.47,65.19,Apple
6.52,28.67,37.28,17.83,86.09,6.28,101.39,Pomegranate
12.42,26.54,33.56,20.38,93.18,5.9,111.63,Pomegranate
88.58,82.29,48.92,29.47,75.88,6.99,158.11,Banana
6.74,24.87,21.72,30.63,46.48,6.31,91.19,Mango
64.22,46.72,42.66,23.52,86.21,6.44,253.92,Rice
18.09,142.64,206.91,31.87,80.96,6.4,74.12,Grapes
16.78,37.57,21.26,25.22,48.08,5.49,97.6,Mango
79.52,55.42,38.91,23.33,66.38,6.51,64.6,Apple
38.62,71.23,33.57,28.3,39.49,5.7,137.09,Arhar (Tur/Red Gram)(Whole)
21.33,125.27,181.53,30.25,81.9,6.28,75.83,Grapes
22.11,123.95,192.9,31.25,79.03,6.02,70.43,Grapes
19.22,74.88,21.35,20.8,39.65,5.69,134.43,Arhar (Tur/Red Gram)(Whole)
62.78,48.65,40.05,23.73,88.38,6.45,286.68,Rice
89.16,54.11,48.67,24.95,74.84,6.82,103.67,Bhindi(Ladies Finger)
13.33,142.69,189.54,28.82,75.11,6.19,75.88,Grapes
20.69,58.45,32.51,26.6,53.49,5.74,97.4,Mango
11.24,127.89,201.97,30.94,75.64,6.35,66.36,Grapes
13.07,19.67,39.66,16.9,92.89,5.96,100.45,Pomegranate
65.4,39.48,44.27,22.4,88.18,7.35,202.46,Rice
74.25,51.37,37.52,24.14,65.07,7.46,100.82,Bhindi(Ladies Finger)
3.53,26.56,35.81,23.02,92.06,6.18,107.36,Pomegranate
89.66,48.36,22.19,22.3,54.99,5.93,65.58,Apple
77.24,39.39,40.96,22.07,87.67,6.28,221.23,Rice
40.9,64.92,25.39,22.79,22.54,6.32,116.79,Arhar (Tur/Red Gram)(Whole)
48.42,60.94,29.46,18.04,45.34,6.63,111.52,Black Gram (Urd Beans)(Whole)
34.29,51.68,23.3,30.75,53.94,5.82,89.32,Mango
8.82,28.13,37.06,20.62,89.72,5.65,118.09,Pomegranate
97.56,83.74,43.95,27.79,81.09,7.34,163.36,Banana
100.45,83.19,41.84,28.05,84.6,6.18,128.08,Banana
73.99,36.34,41.87,23.64,87.32,7.2,215.37,Rice
63.81,50.96,41.05,26.79,81.56,6.7,201.17,Rice
13.07,124.79,190.87,31.83,78.38,6.12,69.49,Grapes
71.6,45.15,53.07,28.9,66.55,6.06,81.04,Bhindi(Ladies Finger)
66.28,40.77,42.08,26.39,85.36,7.1,267.18,Rice
24.18,53.55,21.96,34.02,45.09,5.23,91.31,Mango
65.3,36.39,43.62,26.24,82.66,7.44,275.97,Rice
85.5,48.19,20.34,23.44,60.0,6.09,77.83,Apple
83.16,62.56,36.46,25.88,67.38,6.95,80.01,Bhindi(Ladies Finger)
10.16,143.95,199.68,30.81,79.36,6.11,77.01,Grapes
30.64,73.71,15.1,21.11,26.16,6.12,94.93,Arhar (Tur/Red Gram)(Whole)
26.55,58.46,24.36,33.08,52.42,4.94,85.56,Mango
93.86,34.13,30.75,20.36,66.79,6.23,63.83,Apple
19.87,130.2,181.83,31.31,84.31,6.29,73.56,Grapes
89.74,83.42,43.43,21.3,84.68,5.79,105.21,Banana
25.32,123.34,184.68,29.68,75.2,6.43,70.54,Grapes
101.51,63.07,43.09,25.13,77.7,5.62,120.62,Banana
16.27,70.2,36.5,29.17,21.68,5.72,132.25,Arhar (Tur/Red Gram)(Whole)
36.48,38.78,28.51,32.64,45.25,5.67,95.1,Mango
28.34,127.61,199.79,29.73,84.54,6.39,68.07,Grapes
14.34,31.47,23.02,25.92,49.76,5.93,88.93,Mango
23.53,50.39,22.63,25.2,66.36,6.89,78.15,Green Gram (Moong)(Whole)
13.02,27.2,37.75,18.93,94.39,6.32,111.82,Pomegranate
82.14,58.41,27.78,22.36,60.95,5.51,97.61,Apple
89.94,65.49,44.12,24.53,79.4,7.36,144.05,Banana
48.75,78.65,64.78,19.68,69.22,6.69,131.98,Black Gram (Urd Beans)(Whole)
14.99,19.47,30.77,21.92,87.17,6.49,117.24,Pomegranate
24.79,143.18,196.34,28.45,84.22,6.46,74.84,Grapes
74.58,30.7,23.02,24.34,65.26,6.68,71.8,Apple
12.07,122.54,197.81,29.72,78.11,6.01,79.39,Grapes
26.25,59.6,17.77,31.87,78.74,7.39,58.3,Green Gram (Moong)(Whole)
15.93,55.64,16.29,29.71,74.31,6.66,65.89,Green Gram (Moong)(Whole)
97.49,51.85,38.03,20.51,57.02,6.87,92.07,Apple
37.89,58.32,23.2,29.74,66.69,6.89,64.18,Green Gram (Moong)(Whole)
65.12,44.44,40.21,20.67,89.53,7.05,212.5,Rice
93.39,56.91,35.96,24.15,75.33,7.32,93.73,Bhindi(Ladies Finger)
88.5,33.41,32.44,20.66,64.39,5.7,75.38,Apple
90.66,59.24,43.07,23.82,74.88,7.49,109.82,Bhindi(Ladies Finger)
91.55,79.49,43.42,29.66,82.4,6.8,122.41,Banana
79.83,49.4,43.11,24.44,84.49,7.49,284.63,Rice
48.17,72.89,25.23,26.14,29.74,6.85,116.65,Black Gram (Urd Beans)(Whole)
80.99,51.11,48.29,24.33,72.44,6.66,100.83,Bhindi(Ladies Finger)
6.21,37.54,34.96,25.24,49.35,5.42,97.75,Mango
100.34,61.86,45.94,28.59,80.13,7.4,147.31,Banana
56.3,79.76,42.02,20.43,41.46,7.14,116.51,Black Gram (Urd Beans)(Whole)
88.25,86.79,47.79,25.74,75.8,7.33,217.01,Banana
87.82,62.13,49.08,23.78,82.72,6.98,216.08,Banana
74.66,53.94,44.27,21.98,80.56,6.93,272.68,Rice
79.83,50.13,36.19,25.62,77.4,6.26,107.01,Bhindi(Ladies Finger)
79.85,44.16,42.83,22.68,89.3,6.88,285.47,Rice
75.31,47.51,44.07,20.15,84.94,6.13,208.42,Rice
25.29,58.28,23.51,33.03,81.3,6.75,73.52,Green Gram (Moong)(Whole)
103.06,64.91,41.91,28.94,84.56,6.07,139.33,Banana
10.55,19.94,39.54,19.51,91.31,5.67,107.52,Pomegranate
26.41,124.85,180.7,29.66,76.73,6.06,77.0,Grapes
34.0,59.4,23.01,28.13,64.59,7.05,40.35,Green Gram (Moong)(Whole)
4.9,17.32,36.9,21.43,87.54,5.88,111.13,Pomegranate
10.46,21.05,34.15,24.17,93.05,5.73,106.54,Pomegranate
85.03,43.29,30.91,23.85,63.4,6.62,80.96,Apple
11.3,19.1,35.13,22.74,85.01,6.4,113.84,Pomegranate
74.88,48.91,35.04,24.02,69.89,6.48,91.93,Bhindi(Ladies Finger)
13.17,19.71,31.51,23.11,94.87,5.71,115.35,Pomegranate
31.16,62.5,70.62,27.89,66.1,6.77,115.55,Black Gram (Urd Beans)(Whole)
27.49,70.55,17.26,26.41,16.74,6.41,138.11,Arhar (Tur/Red Gram)(Whole)
35.38,58.0,29.39,31.2,46.93,5.45,87.84,Mango
91.09,88.97,49.08,23.62,83.44,6.73,114.26,Banana
28.96,131.88,198.63,30.86,76.41,6.27,64.09,Grapes
18.62,126.82,199.93,28.68,77.8,6.46,75.53,Grapes
13.35,26.18,34.32,16.91,94.04,5.74,110.35,Pomegranate
15.99,33.72,34.27,33.74,48.72,5.39,87.86,Mango
25.47,147.2,200.19,29.34,78.88,6.44,72.56,Grapes
87.3,89.38,46.35,28.29,77.86,6.33,177.07,Banana
85.97,92.31,47.71,29.73,81.5,5.9,100.35,Banana
3.29,21.17,32.02,18.98,93.89,6.35,109.38,Pomegranate
25.3,140.25,208.4,31.95,76.61,6.22,73.7,Grapes
28.34,65.86,30.01,19.24,42.49,5.61,124.35,Arhar (Tur/Red Gram)(Whole)
54.33,75.16,57.75,16.06,64.41,6.68,75.64,Black Gram (Urd Beans)(Whole)
28.22,134.06,186.88,31.4,79.18,6.04,73.34,Grapes
72.0,57.61,47.31,24.27,69.26,7.29,104.18,Bhindi(Ladies Finger)
90.22,56.37,45.35,25.04,66.11,6.55,96.86,Bhindi(Ladies Finger)
91.96,69.35,49.88,27.14,79.15,5.5,119.07,Banana
2.48,26.14,36.94,23.74,87.34,5.82,106.5,Pomegranate
85.81,65.9,44.5,22.14,82.92,5.62,175.62,Banana
99.43,39.37,28.85,21.26,66.63,6.82,81.94,Apple
12.1,15.66,38.58,23.37,87.62,6.24,106.82,Pomegranate
28.93,33.04,26.39,30.46,47.62,5.25,85.27,Mango
91.27,88.86,48.59,29.81,75.0,7.38,160.38,Banana
91.04,38.46,30.46,23.62,57.23,5.52,67.57,Apple
98.69,72.45,41.34,28.49,80.9,6.09,129.77,Banana
22.96,126.66,187.56,30.5,82.65,6.36,68.37,Grapes
57.14,60.6,65.87,24.13,28.09,6.9,77.17,Black Gram (Urd Beans)(Whole)
92.83,58.67,35.86,22.12,55.37,6.37,77.9,Apple
88.18,41.25,33.45,21.77,67.88,6.33,94.97,Apple
75.11,50.33,29.2,20.86,58.99,6.69,89.14,Apple
88.06,45.34,38.7,27.88,76.04,6.72,94.72,Bhindi(Ladies Finger)
103.61,82.44,44.03,29.89,78.65,6.72,133.83,Banana
84.31,49.94,32.93,22.96,53.03,6.09,89.95,Apple
77.91,60.4,35.08,28.48,74.9,6.08,102.16,Bhindi(Ladies Finger)
87.86,59.88,51.71,23.61,70.08,6.66,108.23,Bhindi(Ladies Finger)
11.5,121.52,195.14,29.47,83.38,6.25,79.18,Grapes
38.13,27.94,28.36,26.24,48.17,5.66,96.2,Mango
13.8,52.84,22.23,26.19,82.54,7.06,67.24,Green Gram (Moong)(Whole)
38.66,59.68,15.92,31.62,81.51,6.56,65.73,Green Gram (Moong)(Whole)
30.53,64.81,72.02,17.76,65.18,6.6,92.61,Black Gram (Urd Beans)(Whole)
20.88,47.77,20.77,31.1,57.18,5.73,80.05,Mango
71.9,30.24,38.44,21.28,51.79,5.65,91.99,Apple
24.41,146.76,204.35,28.53,82.92,6.49,70.73,Grapes
75.96,50.39,41.37,24.45,85.85,7.16,252.33,Rice
24.63,50.84,20.47,27.3,72.36,6.66,50.59,Green Gram (Moong)(Whole)
40.8,64.84,37.58,22.34,52.8,7.08,92.13,Black Gram (Urd Beans)(Whole)
17.29,148.46,183.8,31.81,76.29,6.03,68.06,Grapes
33.68,29.32,23.04,28.46,46.87,5.44,93.68,Mango
25.61,50.7,16.34,28.73,62.59,6.81,57.22,Green Gram (Moong)(Whole)
73.86,64.08,49.98,26.7,76.98,6.77,85.55,Bhindi(Ladies Finger)
9.07,19.79,31.42,17.43,87.5,6.4,119.45,Pomegranate
75.08,55.99,51.25,26.02,75.1,6.04,104.29,Bhindi(Ladies Finger)
83.98,50.65,23.5,20.28,68.29,6.0,84.12,Apple
11.31,53.27,21.47,28.24,62.84,7.28,54.37,Green Gram (Moong)(Whole)
2.12,28.68,30.77,18.62,93.21,5.67,110.49,Pomegranate
70.62,53.37,44.62,26.05,89.78,7.0,298.15,Rice
34.36,55.52,18.98,34.33,77.79,6.78,77.29,Green Gram (Moong)(Whole)
69.7,37.92,42.29,23.59,87.39,7.44,258.12,Rice
87.27,79.0,46.41,25.12,82.8,6.63,166.38,Banana
9.93,28.7,34.62,33.9,57.95,4.51,88.26,Mango
61.48,52.2,42.97,25.97,88.28,6.22,273.44,Rice
4.71,15.71,37.16,20.4,91.48,5.95,115.37,Pomegranate
22.51,54.96,17.07,30.06,82.96,7.47,48.34,Green Gram (Moong)(Whole)
12.89,35.17,34.26,27.05,46.54,6.09,93.44,Mango
75.4,42.59,44.64,23.15,88.29,6.45,240.28,Rice
33.14,69.44,18.41,16.47,47.13,5.7,88.96,Arhar (Tur/Red Gram)(Whole)
92.82,46.24,47.91,27.36,73.62,7.34,86.28,Bhindi(Ladies Finger)
78.78,41.47,40.88,22.02,80.07,7.47,287.91,Rice
9.8,48.17,21.61,33.53,55.49,5.73,99.92,Mango
15.2,136.17,197.49,31.81,84.12,6.27,61.62,Grapes
33.74,72.85,36.13,15.73,53.78,5.55,123.05,Arhar (Tur/Red Gram)(Whole)
88.41,76.89,42.13,22.78,79.96,6.8,131.16,Banana
36.02,67.31,23.04,28.05,33.43,5.54,104.14,Arhar (Tur/Red Gram)(Whole)
10.93,61.45,29.64,19.82,19.41,6.38,137.19,Arhar (Tur/Red Gram)(Whole)
94.6,38.37,34.04,22.96,63.89,6.52,75.69,Apple
77.67,56.4,51.67,22.24,70.63,6.92,102.87,Bhindi(Ladies Finger)
28.29,144.04,186.97,29.52,83.48,6.38,67.29,Grapes
31.49,64.92,21.04,21.99,48.93,5.88,80.67,Arhar (Tur/Red Gram)(Whole)
13.9,52.75,22.6,28.81,51.4,6.45,87.62,Mango
12.63,134.16,186.23,29.06,81.34,6.11,66.02,Grapes
5.8,18.41,30.28,17.93,85.13,6.05,117.59,Pomegranate
86.05,59.04,43.65,24.66,72.81,7.06,107.79,Bhindi(Ladies Finger)
93.81,59.25,46.1,28.94,71.75,6.62,86.83,Bhindi(Ladies Finger)
93.1,81.86,46.81,20.06,77.68,6.22,99.56,Banana
21.06,39.26,24.97,25.28,53.7,6.5,97.07,Mango
4.82,29.96,31.68,26.78,59.18,6.01,81.43,Mango
10.43,58.29,23.82,33.16,46.4,5.39,82.57,Mango
44.18,68.47,32.91,29.23,43.39,6.19,99.15,Arhar (Tur/Red Gram)(Whole)
70.26,50.8,49.95,22.37,73.18,6.61,90.95,Bhindi(Ladies Finger)
23.37,131.77,198.0,29.45,78.93,6.3,63.12,Grapes
74.9,48.85,42.79,22.74,76.04,6.48,103.35,Bhindi(Ladies Finger)
10.91,74.72,16.72,28.65,25.26,6.1,128.85,Arhar (Tur/Red Gram)(Whole)
76.82,52.3,40.9,22.06,85.47,6.75,208.97,Rice
93.2,82.86,41.71,25.67,81.97,6.95,171.74,Banana
92.14,46.35,53.6,28.46,66.09,6.81,98.28,Bhindi(Ladies Finger)
26.36,53.03,18.97,29.81,79.12,6.84,62.32,Green Gram (Moong)(Whole)
13.39,144.17,206.61,30.65,78.91,6.27,73.54,Grapes
100.72,59.63,42.99,26.25,77.07,7.46,197.62,Banana
89.73,62.66,39.43,23.47,65.52,6.14,100.11,Bhindi(Ladies Finger)
29.3,51.65,20.75,29.29,79.11,7.38,57.93,Green Gram (Moong)(Whole)
95.07,53.08,30.15,20.77,66.89,6.4,78.33,Apple
92.5,83.68,48.56,20.95,75.34,7.34,108.31,Banana
91.86,37.94,28.0,23.49,65.54,6.75,73.76,Apple
32.85,55.59,20.57,26.89,73.74,6.8,61.5,Green Gram (Moong)(Whole)
36.11,33.89,24.32,32.22,50.49,5.68,87.51,Mango
21.8,67.42,19.06,15.85,27.13,6.03,122.21,Arhar (Tur/Red Gram)(Whole)
17.58,64.19,32.59,17.07,15.35,6.24,82.57,Arhar (Tur/Red Gram)(Whole)
56.39,71.19,72.07,17.3,42.97,7.19,69.67,Black Gram (Urd Beans)(Whole)
70.59,46.08,44.22,23.02,87.96,6.76,246.0,Rice
23.61,122.96,193.95,28.25,80.81,6.27,71.19,Grapes
94.54,30.41,37.72,23.43,61.76,6.13,60.23,Apple
77.84,44.98,43.18,22.05,85.84,6.65,243.46,Rice
34.2,59.39,24.91,32.61,64.66,7.37,45.1,Green Gram (Moong)(Whole)
26.78,57.06,17.09,27.5,82.01,6.8,44.11,Green Gram (Moong)(Whole)
11.73,24.6,35.93,21.35,91.9,6.07,118.91,Pomegranate
93.23,48.88,50.85,24.7,66.25,6.4,90.85,Bhindi(Ladies Finger)
29.97,148.89,181.6,29.13,84.38,6.02,66.05,Grapes
73.11,41.78,42.6,23.21,88.23,6.96,280.14,Rice
24.92,54.14,23.58,28.39,78.08,7.07,50.66,Green Gram (Moong)(Whole)
23.48,137.41,202.2,30.69,82.89,6.36,67.59,Grapes
25.32,120.65,180.94,30.04,80.91,6.47,64.92,Grapes
76.45,35.38,41.27,23.4,89.33,7.33,260.28,Rice
77.81,53.93,44.58,24.47,82.64,6.24,241.26,Rice
91.06,78.69,49.8,24.63,82.73,6.56,122.7,Banana
14.88,52.56,17.79,33.7,68.89,7.32,42.63,Green Gram (Moong)(Whole)
41.84,69.19,54.06,23.84,24.84,7.12,146.8,Black Gram (Urd Beans)(Whole)
5.43,27.84,37.3,20.01,85.45,5.89,119.71,Pomegranate
99.21,49.1,22.13,23.58,56.37,5.53,78.25,Apple
97.31,74.63,41.86,29.33,81.06,6.87,122.81,Banana
92.68,55.65,54.26,26.08,74.13,7.35,107.92,Bhindi(Ladies Finger)
77.94,48.48,40.85,21.6,83.24,6.61,258.68,Rice
11.28,20.45,35.02,16.41,93.14,5.68,118.43,Pomegranate
10.47,66.92,39.49,17.63,28.86,5.83,106.5,Arhar (Tur/Red Gram)(Whole)
71.77,40.84,44.94,24.91,85.59,6.57,258.69,Rice
18.4,55.84,17.42,25.65,67.41,7.02,71.59,Green Gram (Moong)(Whole)
20.81,69.29,70.17,17.68,34.78,7.49,122.3,Black Gram (Urd Beans)(Whole)
9.07,25.37,35.89,16.74,89.93,6.04,106.35,Pomegranate
92.44,58.89,35.69,25.76,70.82,6.46,98.19,Bhindi(Ladies Finger)
91.16,45.5,49.68,28.85,70.01,6.9,106.22,Bhindi(Ladies Finger)
18.22,129.37,198.58,31.43,77.74,6.07,61.38,Grapes
32.98,53.11,21.27,26.25,82.41,7.28,64.04,Green Gram (Moong)(Whole)
99.91,70.19,45.47,22.18,79.64,6.76,174.68,Banana
76.72,47.35,32.77,24.86,67.67,6.3,67.81,Apple
80.25,32.4,20.72,22.33,64.3,5.8,63.34,Apple
88.24,49.67,54.46,26.65,71.11,6.41,92.37,Bhindi(Ladies Finger)
71.53,38.93,43.94,24.24,86.2,7.33,221.71,Rice
30.63,53.43,22.13,28.28,67.76,7.4,40.85,Green Gram (Moong)(Whole)
14.83,70.13,16.98,27.64,60.11,6.05,136.41,Arhar (Tur/Red Gram)(Whole)
8.82,19.13,39.17,17.33,93.28,6.08,119.19,Pomegranate
101.01,91.54,46.65,28.08,79.75,6.26,139.19,Banana
16.12,145.83,183.16,29.94,84.55,6.11,75.57,Grapes
92.59,81.31,49.5,27.63,82.48,6.75,226.07,Banana
23.39,56.97,17.89,34.95,84.16,7.28,72.16,Green Gram (Moong)(Whole)
30.9,25.3,24.74,25.25,49.72,5.38,98.81,Mango
6.79,46.97,31.3,28.87,56.06,4.84,86.72,Mango
70.9,41.3,41.69,25.57,81.15,7.44,241.71,Rice
39.94,31.69,22.6,29.21,50.27,4.73,98.12,Mango
33.55,56.64,15.21,31.06,73.01,7.15,61.51,Green Gram (Moong)(Whole)
66.89,41.25,43.75,24.47,80.29,6.09,280.61,Rice
22.98,36.39,34.95,34.73,48.73,5.28,92.59,Mango
101.92,85.96,41.38,28.45,82.95,6.93,221.18,Banana
28.66,26.63,32.77,26.65,57.52,4.85,89.45,Mango
86.04,42.18,28.34,20.86,66.72,6.39,85.02,Apple
12.58,66.23,26.04,16.68,51.28,5.54,99.4,Arhar (Tur/Red Gram)(Whole)
18.92,72.13,25.9,17.79,56.4,5.69,122.0,Arhar (Tur/Red Gram)(Whole)
70.68,35.25,26.5,23.65,60.31,5.94,89.75,Apple
79.42,54.01,39.6,27.76,78.59,6.12,83.99,Bhindi(Ladies Finger)
90.46,63.85,43.8,26.54,79.64,6.64,99.93,Bhindi(Ladies Finger)
20.18,42.88,21.46,34.05,57.75,5.52,83.86,Mango
32.27,64.16,67.69,21.7,69.62,6.93,63.55,Black Gram (Urd Beans)(Whole)
13.77,18.38,30.64,18.35,94.35,5.51,119.76,Pomegranate
24.98,38.01,34.2,31.69,54.97,6.2,90.24,Mango
29.86,53.18,24.73,30.05,61.65,7.34,74.77,Green Gram (Moong)(Whole)
96.72,65.36,47.29,23.26,76.72,7.38,148.75,Banana
23.06,72.43,15.59,24.09,32.52,6.38,133.05,Arhar (Tur/Red Gram)(Whole)
86.78,72.78,46.07,21.76,82.5,6.23,157.32,Banana
99.59,80.98,49.89,21.55,84.01,5.62,184.69,Banana
99.08,88.06,44.22,21.11,75.43,6.0,143.6,Banana
22.19,125.77,183.58,28.03,76.14,6.17,74.38,Grapes
29.44,69.8,22.47,24.27,52.31,5.68,100.02,Arhar (Tur/Red Gram)(Whole)
102.53,60.41,48.09,27.14,84.54,5.77,143.72,Banana
13.56,38.28,32.51,27.36,53.75,5.96,92.36,Mango
6.43,27.72,36.11,21.21,87.94,5.94,104.65,Pomegranate
12.2,50.49,22.03,33.98,69.18,7.12,58.7,Green Gram (Moong)(Whole)
12.27,142.67,193.96,30.83,76.3,6.36,63.19,Grapes
23.47,50.82,21.96,29.23,84.96,6.72,64.94,Green Gram (Moong)(Whole)
24.17,134.33,197.89,29.21,84.32,6.21,76.9,Grapes
26.17,141.43,190.89,31.54,75.38,6.3,74.17,Grapes
66.71,38.15,44.23,24.43,84.96,6.06,283.22,Rice
46.2,63.73,77.34,25.23,27.16,6.84,94.93,Black Gram (Urd Beans)(Whole)
16.59,54.2,22.36,30.1,62.86,6.54,58.19,Green Gram (Moong)(Whole)
59.6,75.86,79.1,27.23,42.51,7.22,84.15,Black Gram (Urd Beans)(Whole)
75.72,62.68,38.03,22.06,68.47,7.1,108.54,Bhindi(Ladies Finger)
22.2,140.89,204.3,28.94,83.89,6.18,77.27,Grapes
68.63,45.49,42.96,22.94,82.9,7.35,213.5,Rice
30.59,43.41,23.19,25.43,49.94,6.43,86.28,Mango
20.86,55.72,21.34,32.86,82.61,6.56,71.23,Green Gram (Moong)(Whole)
99.79,87.47,48.45,26.92,76.88,6.27,218.57,Banana
18.56,66.62,39.54,26.45,41.29,5.61,88.35,Arhar (Tur/Red Gram)(Whole)
72.99,50.09,43.44,23.03,89.45,6.74,283.98,Rice
63.13,53.05,40.02,22.8,82.77,7.19,233.45,Rice
70.61,44.56,42.19,24.07,86.61,7.17,246.15,Rice
98.92,33.22,31.98,23.39,65.07,5.85,85.82,Apple
